SMILES,Molecule,Stage1,Stage2,Stage3
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-1·TfOH,TRUE,TRUE,TRUE
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,cat-1·TfaOH,TRUE,TRUE,TRUE
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-1·Tf2NH,TRUE,TRUE,TRUE
CC(=O)[O-].CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C,cat-1·AcOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,cat-2·TfOH,FALSE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,cat-2·TfaOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-3·TfOH,TRUE,TRUE,FALSE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,cat-4·TfOH,TRUE,TRUE,TRUE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)c1ccccc1,cat-5·TfOH,TRUE,TRUE,TRUE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@@H](Cc1ccccc1)CN1CCOCC1,cat-6·TfOH,TRUE,TRUE,TRUE
C[NH+](C)[C@H](CN1CCOCC1)C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-7·TfOH,TRUE,TRUE,TRUE
CC(C)[C@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-8·TfOH,TRUE,TRUE,TRUE
COC(c1ccccc1)(c1ccccc1)[C@@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-9·TfOH,TRUE,FALSE,FALSE
CC(C)(C)[C@H]([NH3+])CNC(c1ccc(Br)cc1)c1ccc(Br)cc1.O=S(=O)([O-])C(F)(F)F,cat-10·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCS(=O)(=O)CC1.O=S(=O)([O-])C(F)(F)F,cat-11·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCSC1.O=S(=O)([O-])C(F)(F)F,cat-12·TfOH,TRUE,TRUE,FALSE
COCCN(CCOC)C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-13·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCC(Cl)CC1.O=S(=O)([O-])C(F)(F)F,cat-14·TfOH,TRUE,TRUE,TRUE
C[C@H]1COCCN1C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-15·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([O-])C(F)(F)F,cat-16·TfOH,FALSE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-16·Tf2NH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,cat-17·TfOH,TRUE,TRUE,TRUE
C[C@H]1COCCN1C[C@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-18·TfOH,TRUE,FALSE,FALSE
CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)CC1.O=S(=O)([O-])C(F)(F)F,cat-19·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCOC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-20·Tf2NH,TRUE,TRUE,TRUE
C[C@@H]1CN(C[C@@H]([NH3+])C(C)(C)C)C[C@H](C)O1.O=S(=O)([O-])C(F)(F)F,cat-21·TfOH,TRUE,TRUE,TRUE
C[C@@H]1CN(C[C@@H]([NH3+])C(C)(C)C)C[C@H](C)O1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-21·Tf2NH,FALSE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=S(=O)([O-])C(F)(F)F,cat-22·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,cat-22·TfaOH,TRUE,TRUE,TRUE
CN(C[C@@H]([NH3+])C(C)(C)C)c1ccncc1.O=S(=O)([O-])C(F)(F)F,cat-23·TfOH,TRUE,TRUE,TRUE
CN(C)C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-24·TfOH,TRUE,TRUE,TRUE
Cc1ccc(C(NC[C@@H]([NH3+])C(C)C)c2ccc(C)cc2)cc1.O=S(=O)([O-])C(F)(F)F,cat-25·TfOH,TRUE,TRUE,TRUE
C[n+]1ccn(C[C@@H](N)C(C)(C)C)c1.O=S(=O)([O-])C(F)(F)F,cat-26·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CNC(c1ccccc1)c1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-27·Tf2NH,TRUE,TRUE,FALSE
CC(C)(C)[C@H]([NH3+])CNC(c1ccccc1)c1ccccc1.O=S(=O)([O-])C(F)(F)F,cat-27·TfOH,TRUE,TRUE,FALSE
COc1ccc2cccc([C@H]([NH3+])C3C[C@H]4CC[N@]3CC4)c2c1.O=S(=O)([O-])C(F)(F)F,cat-28·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CNC(c1ccc(Cl)cc1)c1ccc(Cl)cc1.O=S(=O)([O-])C(F)(F)F,cat-29·TfOH,TRUE,TRUE,TRUE
CN(C)C[C@@H]([NH3+])C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,cat-30·TfOH,TRUE,TRUE,TRUE
CC(C)[C@H]([NH3+])CNC(c1ccc(F)cc1)c1ccc(F)cc1.O=S(=O)([O-])C(F)(F)F,cat-31·TfOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CNC(c1cc(F)cc(F)c1)c1cc(F)cc(F)c1.O=S(=O)([O-])C(F)(F)F,cat-32·TfOH,TRUE,TRUE,TRUE
CC(C)[C@H]([NH3+])CNC(c1ccc2ccccc2c1)c1ccc2ccccc2c1.O=S(=O)([O-])C(F)(F)F,cat-33·TfOH,TRUE,TRUE,TRUE
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[NH3+][C@@H]1CCCC[C@H]1N(Cc1ccccc1)Cc1ccccc1,cat-34·Tf2NH,TRUE,TRUE,TRUE
CCN(CC)C[C@H]([NH3+])C(OC)(c1ccccc1)c1ccccc1.O=S(=O)([O-])C(F)(F)F,cat-35·TfOH,TRUE,TRUE,FALSE
CCN(CC)C[C@H]([NH3+])C(OC)(C1CCCCC1)C1CCCCC1.O=S(=O)([O-])C(F)(F)F,cat-36·TfOH,TRUE,FALSE,FALSE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@@H]1CCCC[C@H]1NC(=O)C(F)(F)F,cat-37·TfOH,FALSE,TRUE,TRUE
CC(C)(C)[C@@H]([NH3+])CN1CCSCC1.O=S(=O)([O-])C(F)(F)F,cat-38·TfOH,TRUE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CNC(c1ccccc1)c1ccccc1.O=S(=O)([O-])C(F)(F)F,cat-39·TfOH,TRUE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CNC(c1ccccc1)c1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-39·Tf2NH,TRUE,FALSE,TRUE
