SMILES,Tag,level,O_index,Exp_State
CC(C)(C)OC(=O)N1CCC(CO)C1,True,1,12,No_Exp
Oc1ccncc1,True,2,0,No_React
C#CC1(O)CCCCC1,True,3,3,No_Exp
O=C1CC[C@@H](CO)N1,True,1,6,No_Exp
CC(C)c1cccc(=O)c(O)c1,True,2,10,No_Exp
CC(C)(C)OC(=O)Nc1cccc(O)c1,True,2,13,No_Exp
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,True,2,12,No_Exp
COc1ccc(C=O)cc1O,True,2,10,No_Exp
COc1cc(CO)c([N+](=O)[O-])cc1OC,True,1,6,No_Exp
COC(=O)CO,True,1,5,No_Exp
COC(=O)CCc1ccc(O)cc1,True,2,10,No_Exp
COC(=O)C[C@H](O)C(=O)OC,True,2,6,No_Exp
Cc1cccnc1O,True,2,7,No_Exp
Cc1cccc(O)n1,True,2,6,No_Exp
Cc1ccc(O)cn1,True,2,5,No_Exp
Cc1cc(O)ccc1Br,True,2,4,No_Exp
Cc1ccc(F)c(O)c1,True,2,7,No_Exp
Cc1c(OCC(F)(F)F)ccnc1CO,True,1,14,No_Exp
CC(C)CC(O)CC(C)C,True,2,5,No_Exp
CC(C)(C)OC(=O)NCCO,True,1,10,No_Exp
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,True,2,10,No_Exp
COC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,True,2,5,No_Exp
COC(=O)C(C)(C)CO,True,1,8,No_Exp
CC(C)(C)OC(=O)N1CCCC(CO)C1,True,1,13,No_Exp
CC(C)(C)OC(=O)N1CCC(O)C1,True,2,11,No_Exp
CC(C)(C)OC(=O)N1CC(O)C1,True,2,10,No_Exp
CC(C)(C)c1ccc(O)c(C=O)c1,True,2,8,No_Exp
CC(C)(C)c1cc(C=O)c(O)c(C(C)(C)C)c1,True,2,10,No_Exp
CC(=O)c1cccc(O)c1,True,2,8,No_Exp
COc1cc(C(C)=O)ccc1O,True,2,11,No_Exp
OC1CCOCC1,True,2,0,No_Exp
O[C@H]1CCOC1,True,2,0,No_Exp
OCC1CCCCC1,True,1,0,React
OC1COC1,True,2,0,No_Exp
Oc1cccnc1,True,2,0,No_Exp
Oc1cc(Br)ccn1,True,2,0,No_Exp
Oc1cccc2[nH]ccc12,True,2,0,No_Exp
OCc1ccccn1,True,1,0,No_Exp
Oc1ccc(OCc2ccccc2)cc1,True,2,0,No_Exp
Oc1ccccc1F,True,2,0,No_Exp
OCCc1ccccc1Cl,True,1,0,No_Exp
Oc1ccc(Br)nc1,True,2,0,No_Exp
OCc1cccc(Br)c1,True,1,0,No_Exp
Oc1ncccc1Br,True,2,0,No_Exp
O=Cc1cccc(O)c1Br,True,2,7,No_Exp
Oc1c(Cl)cccc1Cl,True,2,0,No_Exp
O=[N+]([O-])c1cccc(F)c1O,True,2,10,No_Exp
OCCc1ccc(Cl)cc1,True,1,0,No_Exp
OCc1ccc(C(F)(F)F)cc1,True,1,0,No_Exp
O=Cc1cc(Br)ccc1O,True,2,9,No_Exp
Oc1cc(F)cc(F)c1,True,2,0,No_Exp
Oc1cc(Br)cc(Br)c1,True,2,0,No_Exp
C=CCOCCO,True,1,6,No_Exp
C[C@@H](CO)NC(=O)OC(C)(C)C,True,1,3,No_Exp
OCCCCCCCCCBr,True,1,0,No_Exp
OC(C(F)(F)F)C(F)(F)F,True,2,0,No_React
OCCOc1ccc2ccccc2c1,True,1,0,No_Exp
OCC(F)(F)C(F)(F)F,True,1,0,No_Exp
OCC(F)(F)C(F)(F)C(F)(F)F,True,1,0,No_Exp
O=C(NCO)c1ccccc1,True,1,4,No_Exp
NC(=O)c1ccccc1O,True,2,9,No_Exp
COc1cccc(O)c1,True,2,7,No_Exp
COc1ccc(C=O)c(O)c1,True,2,9,No_Exp
COc1cc(C=O)cc(OC)c1O,True,2,12,No_Exp
COC(=O)c1ccccc1O,True,2,10,No_Exp
COC(=O)c1ccc(O)c(Cl)c1,True,2,8,No_Exp
Oc1ccc(Cl)c(Cl)c1,True,2,0,No_Exp
CCOC(=O)c1ccccc1O,True,2,11,No_Exp
CCOC(=O)[C@H](C)O,True,2,7,No_Exp
CCCOC(=O)c1ccc(O)cc1,True,2,10,No_Exp
CCCCOCCOCCO,True,1,10,No_Exp
CCCCCO,True,1,5,No_Exp
CCCCCCCCCO,True,1,9,No_Exp
CCCCCCCCCCCCCCCCCCO,True,1,18,No_Exp
CCCCc1ccc(O)cc1,True,2,8,No_Exp
CCC(C)(O)CCC(C)C,True,3,4,No_Exp
Cc1ccccc1O,True,2,7,No_Exp
Cc1cc(O)c(Cl)c(C)c1Cl,True,2,4,No_Exp
CC(=O)Nc1cccc(O)c1,True,2,9,No_Exp
CC(C)c1ccc(CO)cc1,True,1,8,No_Exp
CC(=O)c1ccc(O)cc1,True,2,7,No_Exp
CC(=O)c1ccc(F)cc1O,True,2,10,No_Exp
OCC1CC1,True,1,0,No_Exp
OC1CCC1,True,2,0,React
OCC1c2ccccc2-c2ccccc21,True,1,0,No_Exp
O=Nc1ccc2ccccc2c1O,True,2,12,No_Exp
OCc1ccc(-c2ccccc2)cc1,True,1,0,No_Exp
Oc1cccc(Cl)n1,True,2,0,No_Exp
Oc1ccc(Cl)c(F)c1,True,2,0,No_Exp
O=[N+]([O-])c1ccc(F)cc1O,True,2,10,No_Exp
Oc1ccc(F)cc1Cl,True,2,0,No_Exp
Oc1ccc(Cl)cc1Cl,True,2,0,No_Exp
Oc1ccc(Br)cc1F,True,2,0,No_Exp
Oc1cccnc1Br,True,2,0,No_Exp
Oc1ccc(OC(F)(F)F)cc1,True,2,0,No_Exp
OCc1ccc(F)cc1,True,1,0,No_Exp
O=Cc1cc([N+](=O)[O-])ccc1O,True,2,11,No_Exp
Oc1c(Br)cc(Br)cc1Br,True,2,0,No_Exp
C=Cc1ccc(O)cc1,True,2,6,No_React
C/C=C/C=C/CO,True,1,6,No_Exp
C#CCCCCO,True,1,6,No_Exp
Oc1c(Br)cccc1Br,True,2,0,No_Exp
OCc1ccccc1,True,1,0,React
Oc1cccc2c1CCCC2,True,2,0,No_Exp
COc1ccc(C(O)c2ccc(OC)cc2)cc1,True,2,7,No_Exp
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,True,3,4,No_Exp
O=C(NCO)c1cccnc1,True,1,4,No_Exp
O=C1C=CC(=O)N1CCO,True,1,9,No_Exp
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,2,19,No_Exp
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,2,18,No_Exp
OCc1cccc(I)c1,True,1,0,No_Exp
Oc1c(Br)cc(F)cc1Br,True,2,0,No_Exp
COCCO,True,1,4,No_Exp
COc1ccc(O)cc1,True,2,6,No_Exp
COc1cc(C=O)ccc1O,True,2,10,No_Exp
CCOC(=O)C(O)CC(C)C,True,2,6,No_Exp
CCCOCC(C)O,True,2,7,No_Exp
CCCCCCCCO,True,1,8,No_Exp
CCCCCCCCCCCO,True,1,11,No_Exp
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,True,1,36,No_Exp
CCCCCCCCCCCCCCCc1cccc(O)c1,True,2,20,No_Exp
CCCCCCCC/C=C\CCCCCCCCO,True,1,18,No_Exp
CCc1ccc(CO)cc1,True,1,7,No_Exp
CCC/C=C\CO,True,1,6,No_Exp
CCC(C)CCO,True,1,6,No_Exp
CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,True,2,12,No_Exp
Cc1ccc2cc(O)ccc2n1,True,2,7,No_Exp
Cc1ccc2c(O)cc(=O)oc2c1,True,2,6,No_Exp
Cc1cccc(O)c1,True,2,6,No_Exp
Cc1cc(C)c(O)c(C(C)(C)C)c1,True,2,6,No_React
Cc1nccc2c1[nH]c1cc(O)ccc12,True,2,11,No_Exp
CC[C@H](C)CO,True,1,5,No_Exp
CC[C@@H](C)O,True,2,4,No_Exp
CC(O)CBr,True,2,2,No_Exp
CC(O)Cc1ccccc1,True,2,2,No_Exp
CC(O)C1CC1,True,2,2,No_Exp
CC(O)c1ccc2ccccc2c1,True,2,2,No_Exp
CC(C)O,True,2,3,No_Exp
CC(C)CO,True,1,4,No_Exp
CC(C)(C)CO,True,1,5,No_Exp
CC(C)(C)c1ccc(O)cc1,True,2,8,No_Exp
OCC1COCCOCCOCCOCCO1,True,1,0,No_Exp
OCC1COCCOCCOCCO1,True,1,0,No_Exp
Oc1ccc2c(c1)CCC2,True,2,0,No_Exp
OCc1cccnc1,True,1,0,No_Exp
Oc1ccnc(Br)c1,True,2,0,No_Exp
Oc1c(I)cc(Cl)c2cccnc12,True,2,0,No_Exp
OCCc1ccccn1,True,1,0,No_Exp
O=S1(=O)OC(c2ccc([O-])cc2)(c2ccc(O)cc2)c2ccccc21,True,2,16,No_Exp
O=C(c1ccccc1)c1ccccc1O,True,2,14,No_Exp
OC/C=C/c1ccccc1,True,1,0,React
O=C(c1ccc(O)cc1)c1ccc(F)cc1,True,2,6,No_Exp
O=[N+]([O-])c1ccc(O)c(CBr)c1,True,2,7,No_Exp
C=CC(C)O,True,2,4,No_Exp
C=C(C)C(=O)OCC(O)CC,True,2,8,No_Exp
CC[C@H](C)O,True,2,4,No_Exp
C[C@H](O)c1ccccn1,True,2,2,No_Exp
C/C=C\CCCO,True,1,6,No_Exp
O=S([O-])CO,True,1,4,No_Exp
OCCOCCOCCCl,True,1,0,No_Exp
OCCI,True,1,0,No_Exp
OCCCCl,True,1,0,No_React
OCCCCCCCCCCCBr,True,1,0,No_Exp
OC(CBr)CCBr,True,2,0,No_Exp
OCC(F)(F)F,True,1,0,No_Exp
CC(=Cc1ccccc1)CO,True,1,10,No_Exp
C#CCCO,True,1,4,No_Exp
O=C(CCl)NCO,True,1,6,No_Exp
OCn1cncn1,True,1,0,No_Exp
CC(C)(C)OC(=O)COCCOCCO,True,1,14,No_Exp
O=C(NCCOCCO)OCc1ccccc1,True,1,8,No_Exp
OCCOC1CCCCO1,True,1,0,No_Exp
O=C(c1ccccc1)c1ccc(OCCO)cc1,True,1,15,No_Exp
O=C(NCCO)OCC1c2ccccc2-c2ccccc21,True,1,5,No_Exp
O=C(NCCO)OCc1ccccc1,True,1,5,No_Exp
NC(=O)NCCO,True,1,6,No_Exp
O=C1CCCN1CCO,True,1,8,No_Exp
OCCn1c2ccccc2c2ccccc21,True,1,0,No_Exp
CS(=O)(=O)CCCO,True,1,7,No_Exp
O=C(NCCCO)OCc1ccccc1,True,1,6,No_Exp
CN(CCCO)C(=O)OC(C)(C)C,True,1,5,No_Exp
OCCCCOCc1ccccc1,True,1,0,React
CC(C)(C)OC(=O)NCCCCO,True,1,12,No_Exp
OCCCCCOCc1ccccc1,True,1,0,No_Exp
CC(C)(C)OC(=O)NCCCCCO,True,1,13,No_Exp
CC(C)(C)OC(=O)NCCCCCCO,True,1,14,No_Exp
CCCCCCO,True,1,6,No_Exp
OCCCCC(F)(F)F,True,1,0,No_Exp
OCCCc1ccccc1Br,True,1,0,No_Exp
COc1ccc(CCCO)cc1,True,1,9,No_Exp
C[Si](C)(C)C#CCCCO,True,1,9,No_Exp
OCCC1CC1,True,1,0,No_Exp
OCCc1ccccc1,True,1,0,No_Exp
OCCc1ccc(OCc2ccccc2)cc1,True,1,0,No_Exp
OCCC12CC3CC(CC(C3)C1)C2,True,1,0,No_Exp
OCC1COc2cscc2O1,True,1,0,No_Exp
OCC1CO1,True,1,0,No_Exp
OCC1COc2ccccc2O1,True,1,0,No_Exp
OCC1COC1,True,1,0,No_Exp
CC1(C)OCC(CO)CO1,True,1,7,No_Exp
CC(C)(C)OC(=O)N1CCOC(CO)C1,True,1,13,No_Exp
O=C(OCc1ccccc1)N1CCC(CO)C1,True,1,15,No_Exp
OCC1CCCC1,True,1,0,No_Exp
O=C1CCC(CO)N1,True,1,6,No_Exp
OCC1CC1(F)F,True,1,0,No_Exp
OCC1CC2C=CC1C2,True,1,0,No_Exp
OCC12COCN1COC2,True,1,0,No_Exp
OCc1ncccc1Br,True,1,0,No_Exp
OCc1cccc(F)n1,True,1,0,No_Exp
OCc1cccc(Cl)n1,True,1,0,No_Exp
OCc1csc(Br)n1,True,1,0,No_Exp
OCc1cncs1,True,1,0,No_Exp
CSc1ncc(CO)c(Cl)n1,True,1,7,No_Exp
OCc1cnc(Cl)cn1,True,1,0,No_Exp
OCc1cc2cnc(Cl)nc2n1C1CCCC1,True,1,0,No_Exp
OCc1cccc(OCc2ccccc2)c1,True,1,0,No_Exp
OCc1cccc(Oc2ccccc2)c1,True,1,0,No_Exp
OCc1cccc(C(F)(F)F)c1,True,1,0,No_Exp
OCc1cccc(Br)c1F,True,1,0,No_Exp
OCc1ccc(OCc2ccccc2)cc1,True,1,0,No_Exp
COc1ccc(CO)cc1OC,True,1,7,No_Exp
OCc1ccc(CBr)cc1,True,1,0,No_Exp
Cc1ccc(-c2ccc(CO)cc2)cc1,True,1,10,No_Exp
C=Cc1ccc(CO)cc1,True,1,7,No_Exp
Cc1ccc(CO)cc1C,True,1,6,No_Exp
C[Si](C)(C)C#Cc1ccc(CO)cc1,True,1,11,No_Exp
OCc1ccc(Br)nc1,True,1,0,No_Exp
O=[N+]([O-])c1cc(Br)ccc1CO,True,1,11,No_Exp
OCc1cc(OC(F)(F)F)ccc1F,True,1,0,No_Exp
OCc1cc(F)ccc1Br,True,1,0,No_Exp
OCc1cc(Br)ccc1F,True,1,0,No_Exp
Cc1[nH]cnc1CO,True,1,7,No_Exp
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,True,1,10,No_Exp
Cc1cccc(C)c1CO,True,1,9,No_Exp
CC1(CO)CC1,True,1,3,No_Exp
NC(=O)CO,True,1,4,No_Exp
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,1,0,No_Exp
CC(F)(F)CO,True,1,5,No_Exp
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,True,1,14,No_Exp
CC(C)(CO)CCl,True,1,4,No_Exp
Oc1nc2ccccc2s1,True,2,0,No_Exp
Oc1ccc2cccnc2c1,True,2,0,No_Exp
Oc1ccc2cc(Br)ccc2c1Br,True,2,0,No_Exp
Oc1nccc2ccccc12,True,2,0,No_Exp
Cc1ccc2ccccc2c1O,True,2,11,No_Exp
Oc1ccc(Br)c2ccccc12,True,2,0,No_Exp
OC1CCc2ccccc21,True,2,0,No_Exp
OC1CC1,True,2,0,No_React
OC1CC/C=C\CCC1,True,2,0,No_Exp
CC(C)(C)OC(=O)N1C2CCC1CC(O)C2,True,2,14,No_Exp
OC1c2ccccc2SCc2c1ccc(F)c2F,True,2,0,No_Exp
Oc1cc[nH]n1,True,2,0,No_Exp
Oc1cnc2ccccc2n1,True,2,0,No_Exp
Cc1cc(O)nc2ccccc12,True,2,4,No_Exp
CCc1ncnc(O)c1F,True,2,7,No_Exp
Oc1ncccn1,True,2,0,No_Exp
Oc1ccccn1,True,2,0,No_Exp
O=[N+]([O-])c1cnc(O)c(C(F)(F)F)c1,True,2,7,No_Exp
Oc1cnc(-c2ccccc2)c(-c2ccccc2)n1,True,2,0,No_Exp
Oc1cccc(C(F)(F)F)n1,True,2,0,No_Exp
O=c1ccocc1O,True,2,7,No_Exp
Cn1cc(O)cn1,True,2,4,No_Exp
Oc1ccnc2ccc(Cl)cc12,True,2,0,No_Exp
Oc1ccnc2cc(Cl)ccc12,True,2,0,No_Exp
Oc1ccnc2cc(Br)ccc12,True,2,0,No_Exp
Oc1ccnc2ccccc12,True,2,0,No_React
Oc1cccnc1F,True,2,0,No_Exp
Oc1cccc2ccc3cccnc3c12,True,2,0,No_Exp
Oc1ccccc1OCc1ccccc1,True,2,0,No_Exp
C=CCOc1ccccc1O,True,2,10,No_Exp
COc1ccccc1O,True,2,8,No_Exp
Oc1ccccc1-c1nc2ccccc2o1,True,2,0,No_Exp
Oc1ccccc1-c1ccno1,True,2,0,No_Exp
C=CC(=O)Nc1cccc(O)c1,True,2,10,No_Exp
Oc1cccc(-c2ccccc2)c1,True,2,0,No_Exp
CC(C)c1cccc(O)c1,True,2,8,No_Exp
Oc1cccc(Br)n1,True,2,0,No_Exp
O=C(CBr)c1cccc(O)c1,True,2,9,No_Exp
Oc1ccc2cnccc2c1,True,2,0,No_Exp
O=S(=O)([O-])c1ccc2ccc(O)cc2c1,True,2,11,No_Exp
COc1ccc2cc(O)ccc2c1,True,2,8,No_Exp
CC(=O)c1ccc2cc(O)ccc2c1,True,2,9,No_Exp
CC(C)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,True,2,15,No_Exp
COc1cc(F)ccc1O,True,2,9,No_Exp
Oc1ccc(Cl)cc1Cc1ccccc1,True,2,0,No_Exp
CCCCCCCc1ccc(O)cc1,True,2,11,No_Exp
C=CCc1ccc(O)c(OC)c1,True,2,7,No_Exp
Oc1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,True,2,0,No_Exp
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1,True,2,10,No_Exp
Oc1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,2,0,No_Exp
COc1nc(Br)ccc1O,True,2,9,No_Exp
CCCCC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,True,2,13,No_Exp
CCCC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,True,2,12,No_Exp
CC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,True,2,10,No_Exp
Oc1ccnc(Cl)c1,True,2,0,No_Exp
Oc1cc(Cl)nc(Cl)c1,True,2,0,No_Exp
Cc1ccc(Cl)cc1O,True,2,8,No_Exp
Cc1cc(O)n(C)n1,True,2,4,No_Exp
Cc1cc(O)ccn1,True,2,4,No_Exp
Cc1cc(C)cc(O)c1,True,2,7,No_Exp
Cc1cc(O)ccc1C(C)C,True,2,4,No_Exp
Cn1nc(C(F)(F)F)cc1O,True,2,10,No_Exp
Oc1cc(Br)c2ccccc2c1,True,2,0,No_Exp
Cc1cc(O)ccc1C=O,True,2,4,No_Exp
O=[N+]([O-])c1cc(O)cc(F)c1,True,2,6,No_Exp
Oc1ncnc2nc[nH]c12,True,2,0,No_Exp
Oc1cccc2cccnc12,True,2,0,No_Exp
Oc1ccc(Br)c2cccnc12,True,2,0,No_Exp
Oc1cccc2ccc(F)cc12,True,2,0,No_Exp
Oc1ncnc2ccc(Br)cc12,True,2,0,No_Exp
COCOc1cc(O)c2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c(F)ccc2c1,True,2,7,No_Exp
Oc1cc(Br)cc2cccnc12,True,2,0,No_Exp
Oc1c(I)cc(Br)cc1I,True,2,0,No_Exp
Oc1c(F)ccc(F)c1F,True,2,0,No_Exp
Oc1ccnc(Br)c1F,True,2,0,No_Exp
Oc1c(Cl)cc(I)cc1Cl,True,2,0,No_Exp
Cc1cc(O)c2ccccc2n1,True,2,4,No_Exp
O=C(CCc1ccccc1)c1ccccc1O,True,2,16,No_Exp
COc1cccc(C)c1O,True,2,9,No_Exp
Cc1cccc(C)c1O,True,2,8,No_Exp
Cc1cccc(Br)c1O,True,2,8,No_Exp
Cc1cc(Br)cc(C)c1O,True,2,9,No_Exp
O=C(Nc1cccc2ccccc12)c1cc2ccccc2cc1O,True,2,23,No_Exp
CC(C)(C)c1cc(Br)c(O)c(C(C)(C)C)c1,True,2,9,No_Exp
Oc1ccncc1Br,True,2,0,No_Exp
O=[N+]([O-])c1cnc2ccccc2c1O,True,2,13,No_Exp
O=[N+]([O-])c1cncc(Br)c1O,True,2,10,No_Exp
O=[N+]([O-])c1cccc(Cl)c1O,True,2,10,No_Exp
O=[N+]([O-])c1cc(F)cc(Br)c1O,True,2,11,No_Exp
O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,True,2,11,No_Exp
O=[N+]([O-])c1cc(F)c(O)cc1Cl,True,2,8,No_Exp
OC[C@@H]1COCCO1,True,1,0,No_Exp
CO[C@H]1O[C@H](CO)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,True,1,6,No_Exp
CCCCC[C@H]1CC[C@H]([C@H]2CC[C@H](CO)CC2)CC1,True,1,14,No_Exp
C[C@@H](CO)CBr,True,1,3,No_Exp
OC[C@H]1COCCO1,True,1,0,No_Exp
CC(C)(C)OC(=O)N1CC[C@H](CO)C1,True,1,12,No_Exp
CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1ccc(=O)[nH]c1=O,True,1,9,No_Exp
CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1cnc2c(Cl)ncnc21,True,1,9,No_Exp
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,True,1,10,No_Exp
CC1(C)O[C@H]2[C@@H](O1)[C@@H](CO)O[C@@H]1OC(C)(C)O[C@@H]12,True,1,9,No_Exp
COCC(O)COC,True,2,4,No_Exp
OC1CCC2(CC1)OCCO2,True,2,0,No_Exp
OC(c1ccccc1)(c1ccccc1)c1ccncc1,True,3,0,No_Exp
N#Cc1ccc(C(O)c2ccc(C#N)cc2)cc1,True,2,7,No_Exp
O=c1ccc2nc3ccc(O)cc3oc-2c1,True,2,10,No_Exp
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,True,2,17,No_Exp
CCCCCCCCOc1ccc(O)cc1,True,2,13,No_Exp
CC(C)(C)OC(=O)NCCc1ccc(O)cc1,True,2,14,No_Exp
CCCCOC(=O)C(C)O,True,2,9,No_Exp
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,True,3,0,No_Exp
Cc1cc(F)cc(C)c1O,True,2,9,No_Exp
O=S(=O)(Cl)c1ccc(O)cc1,True,2,8,No_Exp
CS(=O)(=O)c1ccc(O)cc1,True,2,8,No_Exp
O=P(Cc1ccccc1O)(c1ccccc1)c1ccccc1,True,2,9,No_Exp
O=Cc1ccc(I)c(O)c1,True,2,8,No_Exp
COc1cc(C=O)c(Cl)cc1O,True,2,11,No_Exp
COc1cc(C=O)cc(I)c1O,True,2,11,No_Exp
O=Cc1cc(O)cc(C=O)c1,True,2,5,No_Exp
O=Cc1cc(C(=O)CBr)ccc1O,True,2,12,No_Exp
CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,True,2,10,No_Exp
O=Cc1cc(Br)cc(F)c1O,True,2,10,No_Exp
